Date,Close,Index,Country,Close_1day,Relative,Bm
2020-03-27,8.32,NGE: Nigeria,Nigeria,13.39,0.62,3.0
2020-03-30,8.33,NGE: Nigeria,Nigeria,13.39,0.62,3.0
2020-03-31,8.24,NGE: Nigeria,Nigeria,13.39,0.62,3.0
2020-04-01,7.88,NGE: Nigeria,Nigeria,13.39,0.59,3.0
2020-04-02,8.07,NGE: Nigeria,Nigeria,13.39,0.6,3.0
2020-04-03,8.14,NGE: Nigeria,Nigeria,13.39,0.61,3.0
2020-04-06,8.49,NGE: Nigeria,Nigeria,13.39,0.63,3.0
2020-04-07,8.19,NGE: Nigeria,Nigeria,13.39,0.61,3.0
2020-04-08,8.93,NGE: Nigeria,Nigeria,13.39,0.67,3.0
2020-04-09,9.01,NGE: Nigeria,Nigeria,13.39,0.67,3.0
2020-04-13,9.26,NGE: Nigeria,Nigeria,13.39,0.69,3.0
2020-04-14,9.5,NGE: Nigeria,Nigeria,13.39,0.71,3.0
2020-04-15,9.65,NGE: Nigeria,Nigeria,13.39,0.72,3.0
2020-04-16,9.62,NGE: Nigeria,Nigeria,13.39,0.72,3.0
2020-04-17,9.78,NGE: Nigeria,Nigeria,13.39,0.73,3.0
2020-04-20,9.39,NGE: Nigeria,Nigeria,13.39,0.7,3.0
2020-04-21,9.29,NGE: Nigeria,Nigeria,13.39,0.69,3.0
2020-04-22,9.26,NGE: Nigeria,Nigeria,13.39,0.69,3.0
2020-04-23,9.23,NGE: Nigeria,Nigeria,13.39,0.69,3.0
2020-04-24,8.99,NGE: Nigeria,Nigeria,13.39,0.67,3.0
2019-12-02,54.84,World Index: Brunei,Brunei,54.84,1.0,1.0
2019-12-03,54.4,World Index: Brunei,Brunei,54.84,0.99,2.0
2019-12-04,54.48,World Index: Brunei,Brunei,54.84,0.99,2.0
2019-12-05,54.43,World Index: Brunei,Brunei,54.84,0.99,2.0
2019-12-06,55.25,World Index: Brunei,Brunei,54.84,1.01,1.0
