Country/Region,Confirmed,Date,Variation_Active_1week,Variation_Active_2weeks,Variation_Active_1day,Started declining_days,max_variation,index
Greece,2840.0,2020-05-19,-0.06814449917898194,-0.15953654188948307,-0.003084040092521202,no declining,-0.003084040092521202,129
Maldives,1143.0,2020-05-19,-0.2018348623853211,-0.9019963702359348,-0.0038314176245210726,no declining,-0.0038314176245210726,130
Belgium,55791.0,2020-05-19,-0.02269385667710797,-0.06468787435112472,-0.00546791527873798,no declining,-0.00546791527873798,131
Canada,80493.0,2020-05-19,-0.029912866425128005,-0.06278581139537757,-0.0057309941520467846,no declining,-0.0057309941520467846,132
Senegal,2617.0,2020-05-19,-0.17828200972447325,-0.7146226415094341,-0.008321775312066574,no declining,-0.008321775312066574,133
United Kingdom,249894.0,2020-05-19,-0.1013947778362374,-0.2885108591359761,-0.008778021874187986,no declining,-0.008778021874187986,134
South Africa,17200.0,2020-05-19,-0.3154560188595845,-0.9085079093629757,-0.008927562436433495,no declining,-0.008927562436433495,135
Poland,19268.0,2020-05-19,-0.04682946437543965,-0.10408055113937467,-0.009301424280592966,no declining,-0.009301424280592966,136
Mozambique,146.0,2020-05-19,-0.4571428571428571,-0.6451612903225806,-0.0099009900990099,no declining,-0.0099009900990099,137
Philippines,12942.0,2020-05-19,-0.0905451548333922,-0.2124623641837937,-0.011356191308145884,no declining,-0.011356191308145884,138
Russia,299941.0,2020-05-19,-0.18411703239289445,-0.6483954227400898,-0.014819951595199934,no declining,-0.014819951595199934,139
Madagascar,326.0,2020-05-19,-1.4117647058823528,-3.1,-0.01485148514851485,no declining,-0.01485148514851485,140
United States,1528393.0,2020-05-19,-0.09983848091704267,-0.16098091649189178,-0.015458037567445753,no declining,-0.015458037567445753,141
Algeria,7377.0,2020-05-19,-0.20203602192639,-0.3342025206431986,-0.016219794769943726,no declining,-0.016219794769943726,142
Sao Tome and Principe,251.0,2020-05-19,-0.20100502512562812,-0.4311377245508982,-0.01702127659574468,no declining,-0.01702127659574468,143
Sweden,30799.0,2020-05-19,-0.16310301242890246,-0.35590618860510803,-0.01736686935691911,no declining,-0.01736686935691911,144
Ecuador,34151.0,2020-05-19,-0.12960785108885195,-0.036310874660515635,-0.01846435100548446,no declining,-0.01846435100548446,145
Zambia,772.0,2020-05-19,-0.807570977917981,-12.325581395348838,-0.019572953736654804,no declining,-0.019572953736654804,146
Belarus,31508.0,2020-05-19,-0.16646956129976911,-0.4312465450525152,-0.021804548369592027,no declining,-0.021804548369592027,147
Cote d'Ivoire,2153.0,2020-05-19,-0.058070866141732284,-0.4429530201342282,-0.02283539486203616,no declining,-0.02283539486203616,148
Somalia,1502.0,2020-05-19,-0.2752016129032258,-0.7520775623268698,-0.024291497975708502,no declining,-0.024291497975708502,149
Indonesia,18496.0,2020-05-19,-0.1993632362580766,-0.4227949344590091,-0.0250500200080032,no declining,-0.0250500200080032,150
Armenia,5041.0,2020-05-19,-0.3648714216399806,-0.9162125340599456,-0.02551950419248997,no declining,-0.02551950419248997,151
