Country/Region,Bm,DATE,Feature
China,1.0,2020-03-11,INDEX
China,1.0,2020-03-12,INDEX
China,1.0,2020-03-13,INDEX
China,2.0,2020-03-16,INDEX
China,2.0,2020-03-17,INDEX
China,2.0,2020-03-18,INDEX
China,2.0,2020-03-19,INDEX
China,2.0,2020-03-20,INDEX
China,2.0,2020-03-23,INDEX
China,2.0,2020-03-24,INDEX
China,2.0,2020-03-25,INDEX
China,2.0,2020-03-26,INDEX
China,2.0,2020-03-27,INDEX
China,2.0,2020-03-30,INDEX
China,2.0,2020-03-31,INDEX
China,2.0,2020-04-01,INDEX
China,2.0,2020-04-02,INDEX
China,2.0,2020-04-03,INDEX
China,2.0,2020-04-07,INDEX
China,2.0,2020-04-08,INDEX
China,2.0,2020-04-09,INDEX
China,2.0,2020-04-10,INDEX
China,2.0,2020-04-13,INDEX
China,2.0,2020-04-14,INDEX
China,2.0,2020-04-15,INDEX
China,2.0,2020-04-16,INDEX
Japan,1.0,2019-12-02,INDEX
Japan,2.0,2019-12-03,INDEX
Japan,2.0,2019-12-04,INDEX
Japan,2.0,2019-12-05,INDEX
Japan,2.0,2019-12-06,INDEX
Japan,1.0,2019-12-09,INDEX
Japan,2.0,2019-12-10,INDEX
Japan,2.0,2019-12-11,INDEX
Japan,1.0,2019-12-12,INDEX
Japan,1.0,2019-12-13,INDEX
Japan,1.0,2019-12-16,INDEX
Japan,1.0,2019-12-17,INDEX
Japan,1.0,2019-12-18,INDEX
Japan,1.0,2019-12-19,INDEX
Japan,1.0,2019-12-20,INDEX
Japan,1.0,2019-12-23,INDEX
Japan,1.0,2019-12-24,INDEX
Japan,1.0,2019-12-25,INDEX
Japan,1.0,2019-12-26,INDEX
Japan,1.0,2019-12-27,INDEX
Japan,1.0,2019-12-30,INDEX
Japan,2.0,2020-01-06,INDEX
Japan,1.0,2020-01-07,INDEX
Japan,2.0,2020-01-08,INDEX
Japan,1.0,2020-01-09,INDEX
Japan,1.0,2020-01-10,INDEX
Japan,1.0,2020-01-14,INDEX
Japan,1.0,2020-01-15,INDEX
Japan,1.0,2020-01-16,INDEX
Japan,1.0,2020-01-17,INDEX
Japan,1.0,2020-01-20,INDEX
Japan,1.0,2020-01-21,INDEX
Japan,1.0,2020-01-22,INDEX
Japan,1.0,2020-01-23,INDEX
Japan,1.0,2020-01-24,INDEX
Japan,2.0,2020-01-27,INDEX
Japan,2.0,2020-01-28,INDEX
Japan,2.0,2020-01-29,INDEX
Japan,2.0,2020-01-30,INDEX
Japan,2.0,2020-01-31,INDEX
Japan,2.0,2020-02-03,INDEX
Japan,2.0,2020-02-04,INDEX
Japan,2.0,2020-02-05,INDEX
Japan,1.0,2020-02-06,INDEX
Japan,1.0,2020-02-07,INDEX
Japan,1.0,2020-02-10,INDEX
Japan,1.0,2020-02-12,INDEX
Japan,1.0,2020-02-13,INDEX
Japan,1.0,2020-02-14,INDEX
Japan,1.0,2020-02-17,INDEX
Japan,2.0,2020-02-18,INDEX
Japan,2.0,2020-02-19,INDEX
Japan,1.0,2020-02-20,INDEX
Japan,2.0,2020-02-21,INDEX
Japan,2.0,2020-02-25,INDEX
Japan,2.0,2020-02-26,INDEX
Japan,2.0,2020-02-27,INDEX
Japan,2.0,2020-02-28,INDEX
Japan,2.0,2020-03-02,INDEX
Japan,2.0,2020-03-03,INDEX
Japan,2.0,2020-03-04,INDEX
Japan,2.0,2020-03-05,INDEX
Japan,2.0,2020-03-06,INDEX
Japan,3.0,2020-03-09,INDEX
Japan,3.0,2020-03-10,INDEX
Japan,3.0,2020-03-11,INDEX
Japan,3.0,2020-03-12,INDEX
Japan,3.0,2020-03-13,INDEX
Japan,3.0,2020-03-16,INDEX
Japan,3.0,2020-03-17,INDEX
Japan,3.0,2020-03-18,INDEX
Japan,3.0,2020-03-19,INDEX
Japan,3.0,2020-03-23,INDEX
Japan,3.0,2020-03-24,INDEX
Japan,3.0,2020-03-25,INDEX
Japan,3.0,2020-03-26,INDEX
Japan,3.0,2020-03-27,INDEX
Japan,3.0,2020-03-30,INDEX
Japan,3.0,2020-03-31,INDEX
Japan,3.0,2020-04-01,INDEX
Japan,3.0,2020-04-02,INDEX
Japan,3.0,2020-04-03,INDEX
Japan,3.0,2020-04-06,INDEX
Japan,3.0,2020-04-07,INDEX
Japan,3.0,2020-04-08,INDEX
Japan,3.0,2020-04-09,INDEX
Japan,3.0,2020-04-10,INDEX
Japan,3.0,2020-04-13,INDEX
Japan,3.0,2020-04-14,INDEX
Japan,3.0,2020-04-15,INDEX
Japan,3.0,2020-04-16,INDEX
United Kingdom,1.0,2019-12-02,INDEX
United Kingdom,2.0,2019-12-03,INDEX
United Kingdom,2.0,2019-12-04,INDEX
United Kingdom,2.0,2019-12-05,INDEX
United Kingdom,1.0,2019-12-06,INDEX
United Kingdom,1.0,2019-12-09,INDEX
United Kingdom,2.0,2019-12-10,INDEX
United Kingdom,2.0,2019-12-11,INDEX
United Kingdom,1.0,2019-12-12,INDEX
